Timestamp,FPS,Inference Time (s),Latency (s),RAM Usage (%),CPU Usage (%),GPU Usage (%)
2025-07-03T09:51:55.968085,3.85,0.0944,0.1025,85.7,9.2,37.0
2025-07-03T09:51:56.217524,3.85,0.0901,0.0988,85.7,9.8,37.0
2025-07-03T09:51:56.466417,3.85,0.0887,0.0968,85.7,10.0,37.0
2025-07-03T09:51:56.732535,3.85,0.0923,0.1002,85.7,7.0,35.0
2025-07-03T09:51:56.977797,3.85,0.0867,0.0959,85.6,11.7,35.0
2025-07-03T09:51:57.246199,3.86,0.0937,0.1024,85.7,9.5,35.0
2025-07-03T09:51:57.508860,3.85,0.092,0.0995,85.8,7.9,7.0
2025-07-03T09:51:57.771951,3.85,0.089,0.0975,85.6,8.0,7.0
2025-07-03T09:51:58.024383,3.85,0.0923,0.1004,85.6,10.1,7.0
2025-07-03T09:51:58.290358,3.85,0.0942,0.1023,85.6,9.1,7.0
2025-07-03T09:51:58.554661,3.85,0.092,0.101,85.6,11.3,8.0
2025-07-03T09:51:58.820113,3.85,0.093,0.1012,85.6,21.1,8.0
2025-07-03T09:51:59.101673,3.85,0.1012,0.1108,85.6,12.8,8.0
2025-07-03T09:51:59.349136,3.85,0.0907,0.0988,85.6,18.2,8.0
2025-07-03T09:51:59.611929,3.85,0.0927,0.101,85.6,15.3,8.0
2025-07-03T09:51:59.889096,3.85,0.0956,0.1037,85.6,15.9,8.0
2025-07-03T09:52:00.154662,3.85,0.0953,0.1039,85.5,13.5,8.0
2025-07-03T09:52:00.419241,3.85,0.0944,0.1029,85.6,7.4,8.0
2025-07-03T09:52:00.696431,3.85,0.0948,0.1023,85.6,10.2,33.0
2025-07-03T09:52:00.960099,3.84,0.0952,0.1024,85.5,6.8,33.0
2025-07-03T09:52:01.224370,3.84,0.0926,0.0998,85.5,8.9,33.0
2025-07-03T09:52:01.474660,3.84,0.0939,0.0999,85.5,8.0,33.0
2025-07-03T09:52:01.737611,3.84,0.0946,0.1041,85.5,8.6,34.0
2025-07-03T09:52:02.007976,3.84,0.0923,0.1027,85.5,6.1,34.0
2025-07-03T09:52:02.269282,3.84,0.0959,0.1029,85.6,6.8,34.0
2025-07-03T09:52:02.533781,3.84,0.0952,0.1037,85.5,12.2,36.0
2025-07-03T09:52:02.798613,3.84,0.0961,0.1052,85.5,14.5,36.0
2025-07-03T09:52:03.063531,3.84,0.0901,0.1017,85.5,15.6,36.0
2025-07-03T09:52:03.327910,3.84,0.0943,0.1018,85.5,17.8,36.0
2025-07-03T09:52:03.589387,3.84,0.0916,0.0981,85.5,22.3,40.0
2025-07-03T09:52:03.856301,3.84,0.0949,0.1019,85.6,15.7,40.0
2025-07-03T09:52:04.130191,3.84,0.0923,0.1024,85.5,17.7,40.0
2025-07-03T09:52:04.385863,3.84,0.0929,0.1009,85.6,12.4,40.0
2025-07-03T09:52:04.668070,3.83,0.1126,0.1214,85.6,13.4,34.0
2025-07-03T09:52:04.936045,3.83,0.0913,0.0993,85.6,11.5,34.0
2025-07-03T09:52:05.198752,3.83,0.0922,0.1002,85.6,8.4,34.0
2025-07-03T09:52:05.464343,3.83,0.0921,0.1011,85.6,9.3,34.0
2025-07-03T09:52:05.710538,3.83,0.0909,0.098,85.6,7.6,32.0
2025-07-03T09:52:05.978665,3.83,0.0952,0.106,85.5,7.5,32.0
2025-07-03T09:52:06.251628,3.83,0.0952,0.102,85.6,7.6,32.0
2025-07-03T09:52:06.510267,3.83,0.0896,0.0971,85.5,6.3,32.0
2025-07-03T09:52:06.775362,3.83,0.0955,0.1046,85.5,8.8,34.0
2025-07-03T09:52:07.024589,3.83,0.0906,0.0972,85.5,11.7,34.0
2025-07-03T09:52:07.287510,3.83,0.0973,0.1048,85.5,8.5,34.0
2025-07-03T09:52:07.566172,3.83,0.094,0.1026,85.5,7.4,35.0
2025-07-03T09:52:07.817336,3.83,0.0905,0.0981,85.5,14.7,35.0
2025-07-03T09:52:08.069582,3.83,0.089,0.098,85.5,14.8,35.0
2025-07-03T09:52:08.348821,3.83,0.0908,0.0998,85.6,8.9,35.0
2025-07-03T09:52:08.614922,3.83,0.0949,0.1045,85.5,10.7,76.0
2025-07-03T09:52:08.861885,3.83,0.0882,0.0967,85.5,17.4,76.0
2025-07-03T09:52:09.122914,3.83,0.0901,0.0991,85.5,18.6,76.0
2025-07-03T09:52:09.386078,3.83,0.0927,0.0999,85.5,11.3,76.0
2025-07-03T09:52:09.651850,3.83,0.0965,0.1066,85.5,17.9,8.0
2025-07-03T09:52:09.916840,3.83,0.0924,0.101,85.5,10.1,8.0
2025-07-03T09:52:10.165285,3.83,0.0871,0.0972,85.5,10.8,8.0
2025-07-03T09:52:10.445817,3.83,0.1181,0.1256,85.5,14.6,8.0
2025-07-03T09:52:10.712583,3.83,0.0961,0.1054,85.5,8.3,31.0
2025-07-03T09:52:10.978563,3.83,0.0923,0.1005,85.5,8.1,31.0
2025-07-03T09:52:11.244367,3.83,0.0968,0.1055,85.5,8.3,31.0
2025-07-03T09:52:11.509320,3.83,0.0877,0.0973,85.5,7.7,31.0
2025-07-03T09:52:11.772415,3.83,0.0901,0.0991,85.5,8.5,34.0
2025-07-03T09:52:12.050297,3.83,0.1094,0.1172,85.5,10.3,34.0
2025-07-03T09:52:12.318321,3.82,0.0927,0.1046,85.5,9.1,34.0
2025-07-03T09:52:12.582932,3.82,0.0899,0.0989,85.5,12.9,34.0
2025-07-03T09:52:12.863592,3.82,0.1081,0.1173,85.5,8.8,34.0
2025-07-03T09:52:13.128659,3.82,0.0949,0.1035,85.4,12.0,34.0
2025-07-03T09:52:13.392656,3.82,0.0921,0.1018,85.4,14.0,34.0
2025-07-03T09:52:13.658679,3.82,0.1023,0.1102,85.4,19.5,40.0
2025-07-03T09:52:13.918775,3.82,0.0933,0.1,85.4,12.2,40.0
